Instrument,Prompt
Others Left,remove Wooden box with strings and keys from the music
Others Left,erase Wooden box with strings and keys from the music
Others Left,take out Wooden box with strings and keys from the music
Others Left,clear Wooden box with strings and keys from the music
Others Left,eliminate Wooden box with strings and keys from the music
Others Left,wipe away Wooden box with strings and keys from the music
Others Left,expunge Wooden box with strings and keys from the music
Others Left,omit Wooden box with strings and keys from the music
Others Left,exclude Wooden box with strings and keys from the music
Others Left,purge Wooden box with strings and keys from the music
Others Left,eradicate Wooden box with strings and keys from the music
Others Left,rub out Wooden box with strings and keys from the music
Others Left,remove like a mix of a piano and a guitar from the music
Others Left,erase like a mix of a piano and a guitar from the music
Others Left,take out like a mix of a piano and a guitar from the music
Others Left,clear like a mix of a piano and a guitar from the music
Others Left,eliminate like a mix of a piano and a guitar from the music
Others Left,wipe away like a mix of a piano and a guitar from the music
Others Left,expunge like a mix of a piano and a guitar from the music
Others Left,omit like a mix of a piano and a guitar from the music
Others Left,exclude like a mix of a piano and a guitar from the music
Others Left,purge like a mix of a piano and a guitar from the music
Others Left,eradicate like a mix of a piano and a guitar from the music
Others Left,rub out like a mix of a piano and a guitar from the music
Others Left,remove can be plucked or hammered. from the music
Others Left,erase can be plucked or hammered. from the music
Others Left,take out can be plucked or hammered. from the music
Others Left,clear can be plucked or hammered. from the music
Others Left,eliminate can be plucked or hammered. from the music
Others Left,wipe away can be plucked or hammered. from the music
Others Left,expunge can be plucked or hammered. from the music
Others Left,omit can be plucked or hammered. from the music
Others Left,exclude can be plucked or hammered. from the music
Others Left,purge can be plucked or hammered. from the music
Others Left,eradicate can be plucked or hammered. from the music
Others Left,rub out can be plucked or hammered. from the music
Accordion,remove Bellow-driven from the music
Accordion,erase Bellow-driven from the music
Accordion,take out Bellow-driven from the music
Accordion,clear Bellow-driven from the music
Accordion,eliminate Bellow-driven from the music
Accordion,wipe away Bellow-driven from the music
Accordion,expunge Bellow-driven from the music
Accordion,omit Bellow-driven from the music
Accordion,exclude Bellow-driven from the music
Accordion,purge Bellow-driven from the music
Accordion,eradicate Bellow-driven from the music
Accordion,rub out Bellow-driven from the music
